,,,,Duraci—n en minutos,,,,,,,,,,,,,,,,,,,,,
Nombre,Tipo,Dise–o multimedia,Dise–o Instruccional,1,2,3,4,5,6,7,8,9,10,Concat,,,,,,,,,,,
Video animado (Vyond)B‡sicoSin DI,Video animado (Vyond),B‡sico,Sin DI,3,5,7,9,11,13,15,17,19,21,B‡sicoSin DI,,,,,,,,,,,
Video animado (Vyond)B‡sicoB‡sico,Video animado (Vyond),B‡sico,B‡sico,4,7,10,13,16,19,22,25,28,31,B‡sicoB‡sico,,,,,,,,,,,
Video animado (Vyond)B‡sicoMedio,Video animado (Vyond),B‡sico,Medio,4,7,10,13,16,19,22,25,28,31,B‡sicoMedio,,,,,,,,,,,
Video animado (Vyond)B‡sicoAlto,Video animado (Vyond),B‡sico,Alto,5,9,13,17,21,25,29,33,37,41,B‡sicoAlto,,,,,,,,,,,
Video animado (Vyond)MedioSin DI,Video animado (Vyond),Medio,Sin DI,4,7,10,13,16,19,22,25,28,31,MedioSin DI,,,,,,,,,,,
Video animado (Vyond)MedioB‡sico,Video animado (Vyond),Medio,B‡sico,5,9,13,17,21,25,29,33,37,41,MedioB‡sico,,,,,,,,,,,
Video animado (Vyond)MedioMedio,Video animado (Vyond),Medio,Medio,5,9,13,17,21,25,29,33,37,41,MedioMedio,,,,,,,,,,,
Video animado (Vyond)MedioAlto,Video animado (Vyond),Medio,Alto,6,11,16,21,26,31,36,41,46,51,MedioAlto,,,,,,,,,,,
Video animado (Vyond)AltoSin DI,Video animado (Vyond),Alto,Sin DI,5,9,13,17,21,25,29,33,37,41,AltoSin DI,,,,,,,,,,,
Video animado (Vyond)AltoB‡sico,Video animado (Vyond),Alto,B‡sico,6,11,16,21,26,31,36,41,46,51,AltoB‡sico,,,,,,,,,,,
Video animado (Vyond)AltoMedio,Video animado (Vyond),Alto,Medio,6,11,16,21,26,31,36,41,46,51,AltoMedio,,,,,,,,,,,
Video animado (Vyond)AltoAlto,Video animado (Vyond),Alto,Alto,7,13,19,25,31,37,43,49,55,61,AltoAlto,,,,,,,,,,,
Video a medida (Adobe)B‡sicoSin DI,Video a medida (Adobe),B‡sico,Sin DI,4,7.5,11,14.5,18,22,25.5,29,32.5,36,B‡sicoSin DI,,,,,,,,,,,
Video a medida (Adobe)B‡sicoB‡sico,Video a medida (Adobe),B‡sico,B‡sico,5.5,10.5,15.5,20.5,25.5,30.5,36,41,46,51,B‡sicoB‡sico,,,,,,,,,,,
Video a medida (Adobe)B‡sicoMedio,Video a medida (Adobe),B‡sico,Medio,6.5,12.5,18.5,24.5,30.5,37,43,49,55,61,B‡sicoMedio,,,,,,,,,,,
Video a medida (Adobe)B‡sicoAlto,Video a medida (Adobe),B‡sico,Alto,7.5,14.5,21.5,28.5,36,43,50,57,64,71,B‡sicoAlto,,,,,,,,,,,
Video a medida (Adobe)MedioSin DI,Video a medida (Adobe),Medio,Sin DI,6,11.5,17,22.5,28,34,39.5,45,50.5,56,MedioSin DI,,,,,,,,,,,
Video a medida (Adobe)MedioB‡sico,Video a medida (Adobe),Medio,B‡sico,7.5,14.5,21.5,28.5,36,43,50,57,64,71,MedioB‡sico,,,,,,,,,,,
Video a medida (Adobe)MedioMedio,Video a medida (Adobe),Medio,Medio,8.5,16.5,24.5,32.5,40.5,49,57,65,73,81,MedioMedio,,,,,,,,,,,
Video a medida (Adobe)MedioAlto,Video a medida (Adobe),Medio,Alto,9.5,18.5,27.5,36.5,45.5,55,64,73,82,91,MedioAlto,,,,,,,,,,,
Video a medida (Adobe)AltoSin DI,Video a medida (Adobe),Alto,Sin DI,8,15.5,23,30.5,38,46,53.5,61,69,76,AltoSin DI,,,,,,,,,,,
Video a medida (Adobe)AltoB‡sico,Video a medida (Adobe),Alto,B‡sico,9.5,18.5,27.5,36.5,45.5,55,64,73,82,91,AltoB‡sico,,,,,,,,,,,
Video a medida (Adobe)AltoMedio,Video a medida (Adobe),Alto,Medio,10.5,20.5,30.5,40.5,50.5,61,71,81,91,101,AltoMedio,,,,,,,,,,,
Video a medida (Adobe)AltoAlto,Video a medida (Adobe),Alto,Alto,11.5,22.5,33.5,44.5,55.5,67,78,89,100,111,AltoAlto,,,,,,,,,,,