,,,,,Duraci—n en minutos,,,,,,,,,,,
Nombre,Tipo,Dise–o multimedia,Dise–o Instruccional,5,10,15,20,25,30,35,40,45,50,55,60,Concat
A medida (Storyline)B‡sicoSin DI,A medida (Storyline),B‡sico,Sin DI,12,24,37,48,53,57,60,63,66,68,70,72,B‡sicoSin DI
A medida (Storyline)B‡sicoB‡sico,A medida (Storyline),B‡sico,B‡sico,20,40,60,79,85,91,96,101,105,108,112,116,B‡sicoB‡sico
A medida (Storyline)B‡sicoMedio,A medida (Storyline),B‡sico,Medio,21,42,63,84,91,97,102,107,111,115,120,124,B‡sicoMedio
A medida (Storyline)B‡sicoAlto,A medida (Storyline),B‡sico,Alto,22,44,67,89,96,103,109,114,120,125,130,135,B‡sicoAlto
A medida (Storyline)MedioSin DI,A medida (Storyline),Medio,Sin DI,18,35,53,71,77,82,87,91,94,97,100,103,MedioSin DI
A medida (Storyline)MedioB‡sico,A medida (Storyline),Medio,B‡sico,25,51,77,102,110,117,123,129,133,137,142,147,MedioB‡sico
A medida (Storyline)MedioMedio,A medida (Storyline),Medio,Medio,27,53,80,106,114,122,129,135,140,145,150,155,MedioMedio
A medida (Storyline)MedioAlto,A medida (Storyline),Medio,Alto,28,55,84,111,120,128,135,141,148,155,160,165,MedioAlto
A medida (Storyline)AltoSin DI,A medida (Storyline),Alto,Sin DI,25,49,74,98,108,118,124,130,136,142,145,148,AltoSin DI
A medida (Storyline)AltoB‡sico,A medida (Storyline),Alto,B‡sico,33,65,97,129,141,153,161,168,175,182,187,192,AltoB‡sico
A medida (Storyline)AltoMedio,A medida (Storyline),Alto,Medio,34,67,101,134,146,158,166,173,181,189,195,200,AltoMedio
A medida (Storyline)AltoAlto,A medida (Storyline),Alto,Alto,35,69,104,138,151,164,172,180,190,199,205,210,AltoAlto
Responsivo y ‡gil (Rise)B‡sicoSin DI,Responsivo y ‡gil (Rise),B‡sico,Sin DI,6,8,9,11,15,17,19,20,24,27,29,31,B‡sicoSin DI
Responsivo y ‡gil (Rise)B‡sicoB‡sico,Responsivo y ‡gil (Rise),B‡sico,B‡sico,8,11,13,16,22,26,29,31,37,40,43,46,B‡sicoB‡sico
Responsivo y ‡gil (Rise)B‡sicoMedio,Responsivo y ‡gil (Rise),B‡sico,Medio,10,14,17,21,29,33,38,41,49,53,58,62,B‡sicoMedio
Responsivo y ‡gil (Rise)B‡sicoAlto,Responsivo y ‡gil (Rise),B‡sico,Alto,13,20,24,32,41,49,56,62,72,79,86,94,B‡sicoAlto
Responsivo y ‡gil (Rise)MedioSin DI,Responsivo y ‡gil (Rise),Medio,Sin DI,11,20,23,30,38,44,53,59,67,74,82,88,MedioSin DI
Responsivo y ‡gil (Rise)MedioB‡sico,Responsivo y ‡gil (Rise),Medio,B‡sico,13,23,28,35,45,53,63,69,80,87,97,104,MedioB‡sico
Responsivo y ‡gil (Rise)MedioMedio,Responsivo y ‡gil (Rise),Medio,Medio,15,27,32,40,52,60,72,80,91,100,111,120,MedioMedio
Responsivo y ‡gil (Rise)MedioAlto,Responsivo y ‡gil (Rise),Medio,Alto,18,33,39,51,64,76,89,101,114,126,140,151,MedioAlto
Responsivo y ‡gil (Rise)AltoSin DI,Responsivo y ‡gil (Rise),Alto,Sin DI,13,23,29,36,46,54,64,72,82,89,100,107,AltoSin DI
Responsivo y ‡gil (Rise)AltoB‡sico,Responsivo y ‡gil (Rise),Alto,B‡sico,15,27,33,41,54,62,74,82,95,103,115,123,AltoB‡sico
Responsivo y ‡gil (Rise)AltoMedio,Responsivo y ‡gil (Rise),Alto,Medio,17,30,37,46,60,70,82,92,106,115,129,139,AltoMedio
Responsivo y ‡gil (Rise)AltoAlto,Responsivo y ‡gil (Rise),Alto,Alto,20,36,42,57,73,85,101,113,129,142,157,170,AltoAlto